sessionActivity,sessionNotes,HbO2,activity label,percentCycles: 0 to 200% (peak detection comparison percentage),timestampStart: unix,timestampStart: unix
thinking,,934,thinking,95.6722272,1.57E+12,1.57E+12
,,937,thinking,93.93454322,,
,,939,thinking,99.18580297,,
,,941,thinking,102.4063757,,
,,943,thinking,100.7347234,,
,,944,thinking,100.8959666,,
,,945,thinking,100.4018025,,
,,946,thinking,100.6909449,,
,,948,thinking,101.4501377,,
,,948,thinking,99.18565235,,
,,949,thinking,95.96385448,,
,,951,thinking,98.57320603,,
,,911,thinking,99.8913888,,
,,914,thinking,55.72754891,,
,,918,thinking,93.06096264,,
,,921,thinking,90.3465898,,
,,925,thinking,96.42377518,,
,,927,thinking,100.5450589,,
,,930,thinking,72.67157473,,
,,932,thinking,94.86095753,,
,,934,thinking,100.6697567,,
,,937,thinking,95.39176308,,
,,937,thinking,99.59706309,,
,,939,thinking,99.28346203,,
,,941,thinking,96.48158395,,
,,943,thinking,72.7019905,,
,,945,thinking,92.97029977,,
,,947,thinking,91.80640541,,
,,948,thinking,95.89154294,,
,,950,thinking,98.54984134,,
,,951,thinking,98.58142919,,
,,941,thinking,98.69431815,,
,,942,thinking,101.5736351,,
,,945,thinking,101.397196,,
,,947,thinking,97.94963791,,
,,950,thinking,43.80843588,,
,,953,thinking,49.61806911,,
,,956,thinking,95.85104878,,
,,959,thinking,70.5585922,,
,,961,thinking,78.83053221,,
,,964,thinking,95.9141862,,
,,966,thinking,98.41091022,,
,,968,thinking,99.12135665,,
,,969,thinking,99.1323272,,
,,972,thinking,101.961043,,
,,966,thinking,101.8512115,,
,,967,thinking,100.2431393,,
,,969,thinking,101.1310361,,
,,961,thinking,101.116364,,
,,963,thinking,93.66903834,,
,,964,thinking,97.64228311,,
,,965,thinking,97.62002009,,
,,965,thinking,,,
,,948,thinking,,,
,,950,thinking,,,
,,952,thinking,,,
,,953,thinking,,,
,,954,thinking,,,
,,950,thinking,,,
,,951,thinking,,,
,,951,thinking,,,
,,932,thinking,,,
,,934,thinking,,,
,,936,thinking,,,
,,938,thinking,,,
,,941,thinking,,,
,,942,thinking,,,
,,942,thinking,,,
,,942,thinking,,,
,,942,thinking,,,
,,943,thinking,,,
,,943,thinking,,,
,,944,thinking,,,
,,944,thinking,,,
,,944,thinking,,,
,,945,thinking,,,
,,947,thinking,,,
,,948,thinking,,,
,,948,thinking,,,
,,949,thinking,,,
,,951,thinking,,,
,,952,thinking,,,
,,953,thinking,,,
,,954,thinking,,,
,,956,thinking,,,
,,958,thinking,,,
,,959,thinking,,,
,,961,thinking,,,
,,962,thinking,,,
,,962,thinking,,,
,,962,thinking,,,
,,962,thinking,,,
,,964,thinking,,,
,,965,thinking,,,
,,946,thinking,,,
,,948,thinking,,,
,,950,thinking,,,
,,951,thinking,,,
,,951,thinking,,,
,,952,thinking,,,
,,953,thinking,,,
,,945,thinking,,,
,,947,thinking,,,
,,948,thinking,,,
,,949,thinking,,,
,,950,thinking,,,
,,951,thinking,,,
,,952,thinking,,,
,,953,thinking,,,
,,954,thinking,,,
,,955,thinking,,,
,,945,thinking,,,
,,946,thinking,,,
,,948,thinking,,,
,,948,thinking,,,
,,949,thinking,,,
,,950,thinking,,,
,,950,thinking,,,
,,951,thinking,,,
,,951,thinking,,,
,,952,thinking,,,
,,953,thinking,,,
,,953,thinking,,,
,,949,thinking,,,
,,949,thinking,,,
,,950,thinking,,,
,,951,thinking,,,
,,951,thinking,,,
,,952,thinking,,,
,,953,thinking,,,
,,955,thinking,,,
,,940,thinking,,,
,,942,thinking,,,
,,944,thinking,,,
,,946,thinking,,,
,,947,thinking,,,
,,949,thinking,,,
,,951,thinking,,,
,,943,thinking,,,
,,944,thinking,,,
,,946,thinking,,,
,,948,thinking,,,
,,950,thinking,,,
,,951,thinking,,,
,,953,thinking,,,
,,928,thinking,,,
,,929,thinking,,,
,,930,thinking,,,
,,932,thinking,,,
,,932,thinking,,,
,,932,thinking,,,
,,933,thinking,,,
,,933,thinking,,,
,,934,thinking,,,
,,934,thinking,,,
,,928,thinking,,,
,,930,thinking,,,
,,932,thinking,,,
,,933,thinking,,,
,,934,thinking,,,
,,936,thinking,,,
,,937,thinking,,,
,,938,thinking,,,
,,940,thinking,,,
,,941,thinking,,,
,,941,thinking,,,
,,941,thinking,,,
,,943,thinking,,,
,,944,thinking,,,
,,945,thinking,,,
,,945,thinking,,,
,,946,thinking,,,
,,948,thinking,,,
,,946,thinking,,,
,,946,thinking,,,
,,946,thinking,,,
,,947,thinking,,,
,,943,thinking,,,
,,943,thinking,,,
,,944,thinking,,,
,,945,thinking,,,
,,943,thinking,,,
,,944,thinking,,,
,,945,thinking,,,
,,946,thinking,,,
