"sessionActivity","sessionNotes","HbO2","activity label","percentCycles: 0 to 200% (peak detection comparison percentage)","minutelyAvgScore: (average percent cycle value in minute)","flowScores: 10s cyclical buffer match closer to 0 closer match","timestampStart: unix","timestampStart: unix"
"writing",,"860.0","writing","48.9930129417644","80.03417253494263","0.0","1574445800749","1574446576848"
"","","767.0","writing","95.5205702582621","85.14714241027832","24750.0","",""
"","","677.0","writing","95.889052706849","82.00877904891968","24750.0","",""
"","","669.0","writing","74.89226077832384","77.73225903511047","24750.0","",""
"","","640.0","writing","84.87594802574543","91.86424016952515","24750.0","",""
"","","628.0","writing","90.82241145776823","87.71095871925354","24750.0","",""
"","","628.0","writing","82.0673290654697","90.74594378471375","24750.0","",""
"","","627.0","writing","78.51438979311357","83.74443650245667","24750.0","",""
"","","622.0","writing","81.95039900671253","68.59848499298096","24750.0","",""
"","","657.0","writing","85.7677659383584","90.6219482421875","24750.0","",""
"","","653.0","writing","91.76056020545491","88.16269040107727","24750.0","",""
"","","614.0","writing","89.14985764623809","92.48724579811096","24750.0","",""
"","","609.0","writing","80.39502332628871","","24750.0","",""
"","","597.0","writing","82.9125526340158","","24750.0","",""
"","","596.0","writing","84.55498658705105","","24750.0","",""
"","","588.0","writing","80.12390676975045","","24750.0","",""
"","","591.0","writing","74.91635525921106","","24750.0","",""
"","","593.0","writing","80.93534595251253","","24750.0","",""
"","","581.0","writing","84.78004070864145","","24750.0","",""
"","","585.0","writing","72.82088093273774","","24750.0","",""
"","","597.0","writing","79.98808861563744","","24750.0","",""
"","","589.0","writing","64.65843069857516","","24750.0","",""
"","","563.0","writing","83.21079131626027","","24750.0","",""
"","","580.0","writing","96.05004610126687","","24750.0","",""
"","","573.0","writing","91.27156810577446","","24750.0","",""
"","","575.0","writing","83.81941511107499","","24750.0","",""
"","","574.0","writing","94.59922266595835","","24750.0","",""
"","","575.0","writing","93.58096740170433","","24750.0","",""
"","","562.0","writing","88.29534942601433","","24750.0","",""
"","","562.0","writing","77.91696490548603","","24750.0","",""
"","","575.0","writing","86.95469554366426","","24750.0","",""
"","","558.0","writing","91.84701115817313","","24750.0","",""
"","","563.0","writing","93.22351534704336","","24750.0","",""
"","","562.0","writing","88.02821824715464","","24750.0","",""
"","","565.0","writing","91.49204058361435","","24750.0","",""
"","","549.0","writing","92.00063570115881","","24750.0","",""
"","","564.0","writing","92.09669540595077","","24750.0","",""
"","","554.0","writing","91.43885736429122","","24750.0","",""
"","","561.0","writing","89.64578769555274","","24750.0","",""
"","","567.0","writing","87.80164116512195","","24750.0","",""
"","","564.0","writing","86.95893303869906","","24750.0","",""
