sessionActivity,sessionNotes,HbO2,activity label,percentCycles: 0 to 200% (peak detection comparison percentage),minutelyAvgScore: (average percent cycle value in minute),timestampStart: unix,timestampStart: unix
thinking,,1238,thinking,94.60605664,96.51743174,1.57427E+12,1.57427E+12
,,1241,thinking,-60.62486989,85.49030423,,
,,1242,thinking,95.37872509,98.41004014,,
,,1244,thinking,100.836793,90.52398205,,
,,1246,thinking,102.7667884,91.25843048,,
,,1248,thinking,87.08741623,98.21438789,,
,,1250,thinking,99.97081397,98.78360629,,
,,1251,thinking,97.58910125,94.1210568,,
,,1232,thinking,55.39833424,79.15109992,,
,,1237,thinking,81.59263033,98.80126715,,
,,1240,thinking,87.61714189,94.73331571,,
,,1242,thinking,90.77378422,99.56839681,,
,,1244,thinking,98.18751917,,,
,,1247,thinking,100.652163,,,
,,1249,thinking,95.78839447,,,
,,1251,thinking,95.73214246,,,
,,1253,thinking,101.6900067,,,
,,1254,thinking,96.65582186,,,
,,1255,thinking,98.79872424,,,
,,1256,thinking,50.6046637,,,
,,1259,thinking,100.840655,,,
,,1260,thinking,97.08695384,,,
,,1261,thinking,99.15706523,,,
,,1262,thinking,101.1611294,,,
,,1262,thinking,101.785827,,,
,,1237,thinking,87.8286906,,,
,,1239,thinking,66.04025508,,,
,,1241,thinking,99.47624463,,,
,,1243,thinking,99.94872045,,,
,,1245,thinking,94.04249822,,,
,,1247,thinking,96.06191648,,,
,,1249,thinking,98.54984774,,,
,,1249,thinking,100.6120764,,,
,,1250,thinking,100.0712383,,,
,,1250,thinking,100.3832076,,,
,,1251,thinking,100.4223229,,,
,,1253,thinking,100.8764714,,,
,,1256,thinking,98.92179484,,,
,,1257,thinking,91.16310064,,,
,,1236,thinking,100.9347531,,,
,,1239,thinking,98.16732667,,,
,,1242,thinking,100.5349231,,,
,,1246,thinking,100.0263201,,,
,,1248,thinking,100.8822304,,,
,,1250,thinking,70.99448504,,,
,,1253,thinking,70.2938997,,,
,,1255,thinking,61.60187363,,,
,,1257,thinking,41.31240962,,,
,,1259,thinking,100.0810721,,,
,,1260,thinking,100.4233409,,,
,,816,thinking,101.1939906,,,
,,855,thinking,97.76022008,,,
,,891,thinking,99.51028404,,,
,,922,thinking,98.27492425,,,
,,950,thinking,98.42027879,,,
,,975,thinking,100.0406479,,,
,,999,thinking,100.3055257,,,
,,1018,thinking,100.1932015,,,
,,1036,thinking,99.50852193,,,
,,1052,thinking,97.52654402,,,
,,1067,thinking,81.8068357,,,
,,1079,thinking,89.05925844,,,
,,1089,thinking,102.5950249,,,
,,1099,thinking,98.34193393,,,
,,1108,thinking,100.2202364,,,
,,1117,thinking,100.6315299,,,
,,1124,thinking,97.02055333,,,
,,1129,thinking,98.60111463,,,
,,1133,thinking,,,,
,,1137,thinking,,,,
,,1140,thinking,,,,
,,1143,thinking,,,,
,,1146,thinking,,,,
,,1148,thinking,,,,
,,1151,thinking,,,,
,,1154,thinking,,,,
,,1157,thinking,,,,
,,1158,thinking,,,,
,,1159,thinking,,,,
,,1161,thinking,,,,
,,1164,thinking,,,,
,,1165,thinking,,,,
,,1166,thinking,,,,
,,1168,thinking,,,,
,,1171,thinking,,,,
,,1174,thinking,,,,
,,1176,thinking,,,,
,,1178,thinking,,,,
,,1180,thinking,,,,
,,1181,thinking,,,,
,,1182,thinking,,,,
,,1183,thinking,,,,
,,1153,thinking,,,,
,,1156,thinking,,,,
,,1160,thinking,,,,
,,1164,thinking,,,,
,,1167,thinking,,,,
,,1170,thinking,,,,
,,1173,thinking,,,,
,,1177,thinking,,,,
,,1179,thinking,,,,
,,1181,thinking,,,,
,,1183,thinking,,,,
,,1186,thinking,,,,
,,1188,thinking,,,,
,,1182,thinking,,,,
,,1184,thinking,,,,
,,1186,thinking,,,,
,,1188,thinking,,,,
,,1190,thinking,,,,
,,1192,thinking,,,,
,,1194,thinking,,,,
,,1197,thinking,,,,
,,1198,thinking,,,,
,,1199,thinking,,,,
,,1201,thinking,,,,
,,1204,thinking,,,,
,,1205,thinking,,,,
,,1206,thinking,,,,
,,1207,thinking,,,,
,,1209,thinking,,,,
,,1209,thinking,,,,
,,1209,thinking,,,,
,,1210,thinking,,,,
,,1211,thinking,,,,
,,1211,thinking,,,,
,,1211,thinking,,,,
,,1212,thinking,,,,
,,1213,thinking,,,,
,,1213,thinking,,,,
,,1214,thinking,,,,
,,1215,thinking,,,,
,,1215,thinking,,,,
,,1216,thinking,,,,
,,1218,thinking,,,,
,,1219,thinking,,,,
,,1220,thinking,,,,
,,1220,thinking,,,,
,,1220,thinking,,,,
,,1216,thinking,,,,
,,1205,thinking,,,,
,,1206,thinking,,,,
,,1208,thinking,,,,
,,1209,thinking,,,,
,,1211,thinking,,,,
,,1213,thinking,,,,
,,1215,thinking,,,,
,,1216,thinking,,,,
,,1216,thinking,,,,
,,1217,thinking,,,,
,,1219,thinking,,,,
,,1217,thinking,,,,
,,1219,thinking,,,,
,,1221,thinking,,,,
,,1223,thinking,,,,
,,1225,thinking,,,,
,,1226,thinking,,,,
,,1227,thinking,,,,
,,1229,thinking,,,,
,,1231,thinking,,,,
,,1233,thinking,,,,
,,1234,thinking,,,,
,,1235,thinking,,,,
,,1236,thinking,,,,
,,1232,thinking,,,,
,,1222,thinking,,,,
,,1223,thinking,,,,
,,1224,thinking,,,,
,,1225,thinking,,,,
,,1219,thinking,,,,
,,1221,thinking,,,,
,,1222,thinking,,,,
,,1223,thinking,,,,
,,1221,thinking,,,,
,,1223,thinking,,,,
,,1224,thinking,,,,
,,1225,thinking,,,,
,,1226,thinking,,,,
,,1227,thinking,,,,
,,1228,thinking,,,,
,,1229,thinking,,,,
,,1231,thinking,,,,
,,1233,thinking,,,,
,,1233,thinking,,,,
,,1234,thinking,,,,
,,1236,thinking,,,,
,,1230,thinking,,,,
,,1231,thinking,,,,
,,1232,thinking,,,,
,,1233,thinking,,,,
,,1233,thinking,,,,
,,1233,thinking,,,,
,,1231,thinking,,,,
,,1231,thinking,,,,
,,1231,thinking,,,,
,,1232,thinking,,,,
,,1233,thinking,,,,
,,1233,thinking,,,,
,,1234,thinking,,,,
,,1235,thinking,,,,
,,1236,thinking,,,,
,,1232,thinking,,,,
,,1233,thinking,,,,
,,1233,thinking,,,,
,,1234,thinking,,,,
,,1226,thinking,,,,
,,1227,thinking,,,,
,,1228,thinking,,,,
,,1229,thinking,,,,
,,1221,thinking,,,,
,,1221,thinking,,,,
,,1222,thinking,,,,
,,1223,thinking,,,,
,,1224,thinking,,,,
,,1224,thinking,,,,
,,1226,thinking,,,,
