T1,T2,T3,T4,T5
550,581,723,506,830
517,725,698,720,537
498,729,700,784,519
498,728,702,784,572
505,730,698,768,646
507,730,695,758,615
509,717,707,730,817
504,717,703,708,834
503,725,707,692,784
504,730,699,692,1049
515,721,701,672,1222
505,728,704,648,1106
506,731,727,661,989
517,735,709,623,1067
472,733,711,656,1001
474,734,711,621,972
533,743,714,628,964
500,741,713,619,959
468,746,708,613,937
526,744,718,614,917
677,741,726,606,897
836,750,729,599,883
800,753,725,592,854
719,747,717,601,844
709,751,715,593,830
941,747,720,597,805
728,733,717,578,798
688,744,714,584,798
681,751,717,587,767
693,743,723,583,762
627,737,762,585,757
588,754,732,584,751
751,743,717,572,748
853,750,734,571,727
1043,750,734,583,735
1177,753,730,588,745
1358,743,728,580,740
947,749,732,563,723
771,737,725,574,751
731,745,729,572,741
546,751,726,576,731
622,746,723,569,736
614,747,737,567,730
505,746,727,563,722
619,739,731,564,727
620,745,727,570,720
601,746,730,560,723
609,750,724,563,711
596,759,728,573,722
601,738,724,561,719
577,742,721,570,722
573,747,726,578,722
568,743,711,571,718
553,749,718,571,709
559,739,716,557,706
557,740,722,564,717
531,746,714,570,717
541,738,715,566,719
534,743,720,562,710
528,749,715,557,711
529,748,719,557,713
521,739,705,564,702
516,737,718,569,704
517,741,712,560,700
513,738,717,559,696
504,738,715,562,710
503,745,711,563,694
508,741,707,555,708
504,745,720,545,705
501,740,718,564,700
506,736,710,559,700
509,750,714,540,700
505,740,718,547,704
493,748,718,568,712
492,744,719,558,714
490,737,722,565,704
501,741,686,566,705
507,747,714,562,700
497,740,720,559,698
501,737,724,567,704
501,731,729,558,705
493,749,716,558,704
495,737,716,568,712
497,737,723,564,724
499,733,729,559,722
487,739,717,562,709
495,760,716,578,707
495,740,713,564,708
506,733,708,568,718
499,739,728,562,718
502,746,716,562,711
502,752,723,564,711
499,740,715,569,716
508,735,720,560,714
499,742,723,559,716
497,738,719,566,713
511,737,731,563,715
509,735,719,557,709
504,736,722,565,698
503,750,719,559,711
502,736,720,563,717
497,725,735,564,713
511,729,733,578,711
506,737,729,567,714
513,734,741,564,718
507,740,720,565,701
511,736,725,572,713
516,740,726,573,721
501,750,730,563,709
504,747,729,558,731
510,729,730,557,719
500,740,720,553,723
510,743,739,572,728
514,742,732,565,729
513,738,734,587,720
510,740,739,565,726
511,743,731,558,734
514,743,735,564,738
521,739,737,561,734
509,728,728,557,737
511,733,728,559,733
519,742,725,565,716
513,742,731,572,728
520,732,736,559,735
515,736,728,569,729
521,739,724,557,734
522,741,738,564,743
509,731,753,570,731
527,732,724,570,735
521,738,729,566,735
525,738,728,569,736
527,743,737,569,734
512,742,728,570,752
515,741,719,562,750
517,746,711,569,746
